"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
441,"0490","打包","dăbāo ","I","(VA)","pack, bale, unpack, package, box, load down"
442,"0499","打斷","dăduàn ","I","(VA)","break"
443,"0488","打工","dăgōng ","I","(VA)","work part-time while studying in college/etc."
444,"0495","打架","dăjià ","I","(VA)","fight, scuffle, come to blows"
445,"0498","打擾","dărăo ","I","(VA)","disturb, trouble"
447,"0500","打聽","dătīng ","I","(VA)","inquire/ask about"
448,"0489","打仗","dăzhàng ","I","(VA)","wage war, fight battle"
449,"0494","打招呼","dăzhāohū ","I","(VA)","say hello, greet sb."
450,"0492","打折","dăzhé ","I","(VA)","tuck, sell at a discount"
451,"0496","打針","dăzhēn ","I","(VA)","give an injection, have an injection"
452,"0491","打字","dăzì ","I","(VA)","do typing work, typewritten, typewrite, type"
479,"0358","代","dài ","I","(VA)","take the place of"
482,"1932","帶動","dàidòng ","I","(VA)","drive, spur on, bring along"
488,"2387","貸款","dàikuăn ","I","(VA)","grant a loan, credit"
489,"1931","帶來","dàilái ","I","(VA)","bring, bring about"
490,"0361","代理","dàilĭ ","I","(VA)","act as agent/proxy"
491,"1934","帶領","dàilĭng ","I","(VA)","lead (army/party/etc.), guide"
492,"1933","帶路","dàilù ","I","(VA)","show the way, lead way, lead the way, show way, act as a guide"
493,"0362","代替","dàitì ","I","(VA)","take the place of, substitute for"
497,"3109","擔保","dānbăo ","I","(VA)","pledge, guaranty, assurance, security, sponsion, surety, wager, cover, warranty, guarantee"
500,"3108","擔任","dānrèn ","I","(VA)","assume office of, take charge of"
503,"1756","耽誤","dānwù ","I","(VA)","delay, hold up"
508,"3029","誕生","dànshēng ","I","(VA)","be born, come into being, emerge"
516,"2591","當選","dāngxuăn ","I","(VA)","get elected"
518,"2589","當做","dāngzuò ","I","(VA)","consider/treat as"
519,"2585","當作","dāngzuò ","I","(VA)","consider/treat as"
520,"3102","擋","dăng ","I","(VA)","ward off, block, get in the way of"
522,"2579","當","dàng ","I","(VA)","to pawn"
524,"3093","導演","dăoyăn ","I","(VA)","direct ( film/play/etc.)"
526,"1560","倒","dào ","I","(VA)","pour"
529,"1053","到達","dàodá ","I","(VA)","reach, arrive"
534,"2688","道歉","dàoqiàn ","I","(VA)","apologize"
537,"1950","得獎","déjiăng ","I","(VA)","win a prize"
540,"1949","得罪","dézuì ","I","(VA)","offend, displease"
541,"2307","登","dēng ","I","(VA)","publish, record"
542,"2308","登","dēng ","I","(VA)","ascend, climb, mount, step on"
544,"2310","登記","dēngjì ","I","(VA)","register, check in"
545,"2309","登山","dēngshān ","I","(VA)","mountaineering"
546,"2337","等不及","děngbùjí ","I","(VA)","be too late to wait"
551,"2339","等於","děngyú ","I","(VA)","be equal/tantamount to"
556,"1147","抵","dĭ","I","(VA)","(1)resist,prop up;(2)balance,be equal to"
557,"1149","抵達","dĭdá ","I","(VA)","reach, arrive at"
558,"1148","抵抗","dĭkàng ","I","(VA)","resist, stand up to"
559,"2888","遞","dì ","I","(VA)","forward, transmit, alternate"
572,"0669","地震","dìzhèn ","I","(VA)","earthquake"
575,"3271","點燃","diănrán ","I","(VA)","light, kindle, ignite"
576,"3272","點頭","diăntóu ","I","(VA)","nod one's head"
578,"2746","墊","diàn ","I","(VA)","put sth. under sth. else, fill up, advance money"
589,"3174","雕刻","diāokè  ","I","(VA)","carve, engrave"
591,"0623","吊","diào ","I","(VA)","hang, lift up or let down with rope/etc., mourn, put in a fur lining, revoke, withdraw"
592,"2159","釣","diào ","I","(VA)","fish with hook and line, angle"
593,"3036","調查","diàochá ","I","(VA)","investigate, look into, survey"
594,"2398","跌","dié ","I","(VA)","fall, tumble"
596,"2400","跌倒","diédăo ","I","(VA)","fall, tumble"
598,"0972","盯","dīng ","I","(VA)","gaze/stare at"
599,"1506","訂","dìng ","I","(VA)","subscribe to, book (seats)"
600,"1508","訂婚","dìnghūn ","I","(VA)","be betrothed, be engaged, troth, betroth, plight"
603,"1507","訂位","dìngwèi ","I","(VA)","engage, book, reserve"
619,"1866","動身","dòngshēn ","I","(VA)","set out on a journey"
620,"1864","動手","dòngshǒu ","I","(VA)","strike, hit"
622,"2133","逗","dòu ","I","(VA)","tease, play with, amuse"
