"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
573,"1043","典禮","diănlĭ ","I","(N)","ceremony, celebration"
579,"2714","電報","diànbào ","I","(N)","telegram, cable"
580,"2710","電池","diànchí ","I","(N)","(electric) cell, battery"
582,"2711","電扇","diànshàn ","I","(N)","electric fan"
583,"2715","電視台","diànshìtái ","I","(N)","TV station"
584,"2709","電台","diàntái ","I","(N)","broadcasting station"
585,"2713","電梯","diàntī ","I","(N)","elevator"
586,"2716","電線","diànxiàn ","I","(N)","(electric) wire"
587,"1113","店員","diànyuán ","I","(N)","shop assistant, (sales) clerk"
588,"2708","電子","diànzĭ","I","(N)","electron"
590,"3175","雕刻","diāokè  ","I","(N)","statue"
606,"1176","東北","dōngběi ","I","(N)","the northeast"
607,"1178","東部","dōngbù ","I","(N)","east"
608,"1175","東方","dōngfāng ","I","(N)","east"
609,"0371","冬季","dōngjì ","I","(N)","winter"
610,"1177","東南","dōngnán ","I","(N)","southeast"
613,"1423","洞","dòng ","I","(N)","hole, cavity"
617,"1867","動詞","dòngcí ","I","(N)","verb"
621,"1865","動作","dòngzuò ","I","(N)","demeanor, motion, behavior, performance, operation, looseness, agency, gesticulation, movement, comportment, business, action"
623,"0985","豆腐","dòufŭ ","I","(N)","beancurd"
624,"0986","豆漿","dòujiāng ","I","(N)","soybean milk"
626,"2154","都市","dūshì ","I","(N)","city"
627,"1415","毒","dú ","I","(N)","poison, toxin, narcotics"
630,"1417","毒品","dúpǐn ","I","(N)","narcotics, drugs"
633,"3417","讀者","dúzhě ","I","(N)","reader"
642,"2768","對岸","duìàn ","I","(N)","other side of river"
643,"2771","對策","duìcè ","I","(N)","way to deal with a situation"
646,"2773","對話","duìhuà ","I","(N)","dialogue"
649,"2772","對象","duìxiàng ","I","(N)","target, object"
651,"2427","隊員","duìyuán ","I","(N)","team member"
664,"2232","惡劣","èliè ","I","(N)","vile, nasty"
678,"2317","發明","fāmíng ","I","(N)","invention"
689,"1188","法子","fázi ","I","(N)","way, method"
690,"1189","法律","fălǜ","I","(N)","law, statute"
691,"3070","髮型","făxíng ","I","(N)","haircut"
692,"1190","法院","făyuàn ","I","(N)","court of justice, (law) court"
698,"2573","煩惱","fánnăo ","I","(N)","vexation"
709,"0240","反面","fănmiàn ","I","(N)","reverse/wrong side, back, opposite, negative side"
713,"0244","反應","fănyìng ","I","(N)","reaction, response, repercussion"
717,"2446","飯館(兒)","fànguăn(er) ","I","(N)","restaurant"
718,"0522","犯人","fànrén ","I","(N)","criminal, prisoner, convict"
719,"3007","範圍","fànwéi ","I","(N)","scope, range, extent, parameter"
722,"0291","方案","fāngàn ","I","(N)","scheme, plan, program"
724,"1129","房客","fángkè ","I","(N)","tenant"
726,"1130","房屋","fángwū ","I","(N)","houses, buildings"
737,"1227","肥皂","féizào ","I","(N)","soap"
739,"1225","肺","fèi ","I","(N)","lungs"
740,"2930","廢話","fèihuà ","I","(N)","superfluous words, nonsense, rubbish"
741,"2929","廢氣","fèiqì ","I","(N)","waste gas/steam, fume"
742,"2927","廢水","fèishuǐ ","I","(N)","waste water, effluent"
743,"2928","廢物","fèiwù ","I","(N)","a good-for-nothing"
744,"0206","分別","fēnbié ","I","(N)","difference"
757,"0216","分數","fēnshù ","I","(N)","a mark, a grade, a score"
758,"0211","分析","fēnxī ","I","(N)","analysis"
760,"1744","粉筆","fěnbĭ ","I","(N)","chalk"
761,"0580","份（兒）","fèn(er)","I","(N)","share, portion"
766,"1544","風格","fēnggé ","I","(N)","style"
769,"2633","蜂蜜","fēngmì ","I","(N)","honey"
770,"1545","風氣","fēngqì ","I","(N)","general mood, atmosphere, common practice"
772,"1543","風俗","fēngsú ","I","(N)","custom"
773,"1547","風險","fēngxiăn ","I","(N)","risk, hazard"
774,"2816","瘋子","fēngzi ","I","(N)","lunatic, madman"
782,"0256","夫婦","fūfù ","I","(N)","husband and wife"
783,"0255","夫妻","fūqī ","I","(N)","husband and wife"
784,"0254","夫人","fūrén ","I","(N)","Lady, Madame, Mrs."
789,"2078","符號","fúhào ","I","(N)","symbol, mark ,insignia"
791,"2822","福利","fúlì ","I","(N)","material benefits, well-being, welfare"
792,"1173","服裝","fúzhuāng ","I","(N)","dress, clothing, costume"
800,"1510","負擔","fùdān ","I","(N)","burden, load, encumbrance"
802,"0321","父母","fùmŭ ","I","(N)","father and mother, parents"
803,"1910","婦女","fùnǚ ","I","(N)","women"
815,"2555","概念","gàiniàn ","I","(N)","concept, conception, notion, idea"
816,"2861","蓋子","gàizi ","I","(N)","lid, cover, cap, top, shell (of tortoise/etc.)"
817,"0979","肝","gān ","I","(N)","liver"
826,"2503","感情","gănqíng ","I","(N)","emotion, feeling, sentiment"
830,"2504","感想","gănxiăng ","I","(N)","impression, reflections, thoughts"
834,"2490","幹部","gànbù ","I","(N)","cadre, staff"
838,"3166","鋼","gāng ","I","(N)","steel"
839,"3168","鋼筆","gāngbĭ","I","(N)","fountain pen"
841,"3167","鋼琴","gāngqín ","I","(N)","piano"
842,"2280","港幣","găngbì ","I","(N)","Hong_Kong_dollar"
843,"2279","港口","găngkŏu ","I","(N)","port, harbor"
844,"1837","高潮","gāocháo ","I","(N)","upsurge, climax"
847,"1831","高度","gāodù ","I","(N)","altitude, height, high degree"
848,"1833","高峰","gāofēng ","I","(N)","peak, height"
853,"1828","高手","gāoshŏu ","I","(N)","expert, ace"
854,"1832","高原","gāoyuán ","I","(N)","plateau, tableland"
855,"1827","高中","gāozhōng ","I","(N)","senior high school"
861,"2796","歌劇","gējù ","I","(N)","opera"
862,"2794","歌曲","gēqŭ  ","I","(N)","song"
863,"2795","歌星","gēxīng ","I","(N)","singing star"
865,"2707","隔壁","gébì ","I","(N)","next door"
866,"1540","革命","gémìng ","I","(N)","revoloution"
871,"1567","個兒","gèer ","I","(N)","stature"
872,"0627","各行各業","gèhánggèyè ","I","(N)","all professions/trades"
874,"1568","個性","gèxìng ","I","(N)","individual character, personality, specific property, particularity"
875,"1565","個子","gèzi ","I","(N)","height, stature, build"
876,"1656","根本","gēnběn ","I","(N)","at all, utterly"
878,"1658","根據","gēnjù ","I","(N)","basis, grounds, foundation"
883,"0131","工廠","gōngchăng ","I","(N)","factory, mill, plant, works"
884,"0127","工程","gōngchéng ","I","(N)","engineering project"
885,"0125","工夫","gōngfu ","I","(N)","time"
886,"0397","功夫","gōngfu ","I","(N)","time, kung fu"
887,"0128","工會","gōnghuì ","I","(N)","trade/labor union"
888,"0126","工具","gōngjù ","I","(N)","tool, instrument, implement"
891,"0398","功能","gōngnéng ","I","(N)","function, competence"
893,"0132","工錢","gōngqián ","I","(N)","pay"
894,"0201","公式","gōngshì ","I","(N)","formula, form"
895,"0129","工業","gōngyè ","I","(N)","industry"
898,"0199","公用電話","gōngyòngdiànhuà ","I","(N)","pay phone"
